English	Korean	Product	Chapter	Sequence
Date loaded:	날짜 로드됩니다.	galileo	sw1	69672
File Data Source Reconnection	파일 데이터 소스를 다시 연결하기	galileo	sw1	69673
Select	선택	galileo	sw1	69674
Rename	이름 바꾸기	galileo	sw1	69675
Refresh...	갱신...	galileo	sw1	69676
Remove Data	데이터 제거	galileo	sw1	69677
Removal cannot be undone.	제거 취소할 수 없습니다.	galileo	sw1	69678
Continue and remove the data?	계속해서 제거할 데이터?	galileo	sw1	69679
Remove All Features	모두 제거 (피쳐	galileo	sw1	69680
Continue and remove all features of this data source?	계속 및 Remove All이 데이터 소스?	galileo	sw1	69682
Name	이름	galileo	sw1	69683
Multiple Values	다중 값	galileo	sw1	69684
Source	소스	galileo	sw1	69685
Type	유형	galileo	sw1	69686
Invert Orientation	방향 반전	galileo	sw1	69687
Invert Up Axis	반전 축을	galileo	sw1	69688
Flip Y and Z	Y 및 Z 반전	galileo	sw1	69689
Texture Blend Mode	텍스처 혼합 모드	galileo	sw1	69690
Original	원본	galileo	sw1	69691
Modulate	변조	galileo	sw1	69692
Decal	그림	galileo	sw1	69693
Lifespan	수명 기간	galileo	sw1	69694
Common	공통	galileo	sw1	69695
Style	스타일	galileo	sw1	69696
Elevation	표고	galileo	sw1	69697
Edit	편집	galileo	sw1	69698
Revert	되돌리기	galileo	sw1	69699
Script	스크립트	galileo	sw1	69700
Source Filter	필터 소스	galileo	sw1	69701
Draping Options	드레이핑 옵션	galileo	sw1	69702
Convert closed polylines to polygons	닫힌 폴리선을 폴리곤으로 변환	galileo	sw1	69703
Do not drape	Do Not 드레이프	galileo	sw1	69704
Drape	드레이프	galileo	sw1	69705
Set Elevation	입면도 설정	galileo	sw1	69706
Table	테이블	galileo	sw1	69707
Coordinate System	좌표계	galileo	sw1	69708
Position	위치	galileo	sw1	69709
Offset	간격띄우기	galileo	sw1	69710
Scale	축척	galileo	sw1	69711
Rotation	회전	galileo	sw1	69712
Interactive Placing...	대화식 배치...	galileo	sw1	69713
Local Origin	로컬 원점	galileo	sw1	69714
Center 2D	중심 2D	galileo	sw1	69715
Center 3D	3D 중심	galileo	sw1	69716
Lower Left Front	왼쪽 앞	galileo	sw1	69717
Geo Location	형상 위치	galileo	sw1	69718
Clip to Model Extent	클립 모형 범위	galileo	sw1	69719
No Data Value	데이터 값	galileo	sw1	69720
Height Band	높이 밴드	galileo	sw1	69721
Classification	분류	galileo	sw1	69722
Color Mask	마스크 색상	galileo	sw1	69723
Band Mapping	밴드 매핑	galileo	sw1	69724
Gray	회색	galileo	sw1	69725
Red	빨간색	galileo	sw1	69726
Green	초록색	galileo	sw1	69727
Blue	파란색	galileo	sw1	69728
Alpha	알파	galileo	sw1	69729
Undefined	정의되지 않음	galileo	sw1	69730
Aerial	공중	galileo	sw1	69731
Satellite	위성	galileo	sw1	69732
Topographic Map	지형도	galileo	sw1	69733
Smooth Colors	부드러운 색상	galileo	sw1	69734
Discrete Colors	개별 색상	galileo	sw1	69735
Gray + Alpha	회색 + 알파	galileo	sw1	69736
RGB	RGB	galileo	sw1	69737
RGB + Alpha	RGB 알파 +	galileo	sw1	69738
Pick Color	색상 선택	galileo	sw1	69739
Link	링크	galileo	sw1	69740
Tooltip	tooltip	galileo	sw1	69741
Expression Editor...	표현식 편집기...	galileo	sw1	69742
Style Chooser...	스타일 선택...	galileo	sw1	69743
Export to FBX	FBX로 내보내기	galileo	sw1	69744
Target Coordinate System	대상 좌표계	galileo	sw1	69745
Target File(s)	대상 파일 (S)	galileo	sw1	69746
Single File	단일 파일	galileo	sw1	69747
Set File...	파일...	galileo	sw1	69748
Multiple Files	여러 파일	galileo	sw1	69749
Set Location...	위치 설정...	galileo	sw1	69750
Feature Type	피쳐 유형	galileo	sw1	69751
File Name	파일 이름	galileo	sw1	69752
Export Materials/Textures	내보내기 재료/텍스처	galileo	sw1	69753
Import Bookmarks	가져오기 북마크	galileo	sw1	69754
File Settings	파일 설정	galileo	sw1	69755
Source file	소스 파일	galileo	sw1	69756
Shot Settings	샷 설정	galileo	sw1	69757
Order Index	순서 색인	galileo	sw1	69758
Camera Height	카메라 높이	galileo	sw1	69759
Add Geometry Z	형상 추가 Z	galileo	sw1	69760
Expression	표현식	galileo	sw1	69761
Camera Orientation	카메라 방향	galileo	sw1	69762
Tilt	경사	galileo	sw1	69763
Timing Control	타이밍 조정	galileo	sw1	69764
Set Speed	속도	galileo	sw1	69765
Set Duration	설정 시간	galileo	sw1	69766
Path Speed	경로 속도	galileo	sw1	69767
Path Duration	경로 기간	galileo	sw1	69768
Pause Duration	일시 중지 기간	galileo	sw1	69769
3D Model Files (%1)	3D 모형 파일 (%1)	galileo	sw1	69770
Arc/Info Binary Grid	호/정보 이진 그리드	galileo	sw1	69771
Arc/Info ASCII Grid	호/정보 ASCII 그리드	galileo	sw1	69772
VTP Binary Terrain	vtp 이진 지형	galileo	sw1	69773
Collada	Collada	galileo	sw1	69774
Database	데이터베이스	galileo	sw1	69775
Military elevation data	MGRS (Military 표고 데이터	galileo	sw1	69776
Autodesk DWG	Autodesk DWG	galileo	sw1	69777
Arc/Info Grid Export	호/정보 그리드 내보내기	galileo	sw1	69778
Enhanced Compressed Wavelet	Enhanced Compressed Wavelet	galileo	sw1	69779
Autodesk FBX	Autodesk FBX	galileo	sw1	69780
Golden Surfer Grid	골드 검색 그리드	galileo	sw1	69781
Nasa SRTM	nasa SRTM	galileo	sw1	69782
Erdas Imagine	erdas 상상해 봅니다.	galileo	sw1	69783
OBJ	오브젝트	galileo	sw1	69784
PNG	PNG	galileo	sw1	69785
SDF	SDF	galileo	sw1	69786
SQLite	SQLite	galileo	sw1	69787
Autodesk 3DS	Autodesk 3DS	galileo	sw1	69788
GeoTIFF	GeoTIFF	galileo	sw1	69789
MrSID	MrSID	galileo	sw1	69790
Comma Separated Value	쉼표 구분 값	galileo	sw1	69791
Civil	토목	galileo	sw1	69792
Terrain Texture	지세 텍스처	galileo	sw1	69793
Terrain Surface	지형 표면	galileo	sw1	69794
Texture	텍스처	galileo	sw1	69795
Facade Style Editor	정면 스타일 편집기	galileo	sw1	69796
Theme	주제	galileo	sw1	69797
Building Base Color	빌딩 기준 색상	galileo	sw1	69798
Layouts	배치	galileo	sw1	69799
Block Sequence	블록 시퀀스	galileo	sw1	69800
various values	다양한 값	galileo	sw1	69801
FileBasedDbConnectionWidget	filebaseddbconnectionwidget	galileo	sw1	69802
Source file:	원본 파일:	galileo	sw1	69803
Source file or folder:	소스 파일 또는 폴더:	galileo	sw1	69804
File	파일	galileo	sw1	69805
Folder	폴더	galileo	sw1	69806
Dialog	대화상자	galileo	sw1	69807
Type of data:	데이터 유형:	galileo	sw1	69808
Unkown File Extension	알 수 없는 파일 확장자	galileo	sw1	69809
Unknown File Category	알 수 없는 파일 범주	galileo	sw1	69810
Files	파일	galileo	sw1	69811
MySql	MySQL	galileo	sw1	69812
ODBC	ODBC	galileo	sw1	69813
Oracle	Oracle	galileo	sw1	69814
SQL Server	SQL Server	galileo	sw1	69815
SQL Server Spatial	SQL Server Spatial	galileo	sw1	69816
WFS	WFS	galileo	sw1	69817
WMS	WMS	galileo	sw1	69818
Unkown connection type	알 수 없는 연결 유형	galileo	sw1	69819
Base Layer Management	기준 도면층 관리	galileo	sw1	69820
Apply	적용	galileo	sw1	69821
Internal Error	내부 오류	galileo	sw1	69822
There occured an error while applying the made changes.	다음과 같은 발생한 오류 적용하는 동안 변경한 사항이 있습니다.	galileo	sw1	69823
(See the current log for details).	(현재 로그에서 상세 정보).	galileo	sw1	69824
Hide data source contents	데이터 원본 내용 숨기기	galileo	sw1	69825
Show data source contents	데이터 원본 내용	galileo	sw1	69826
Terrain Surfaces	지형 표면	galileo	sw1	69827
Ground Imagery and Coverages	지면 이미지 및 커버리지	galileo	sw1	69828
Roads and Railways	도로, 철도	galileo	sw1	69829
Unknown	알 수 없음	galileo	sw1	69830
Show contents of selected data sources	표시 내용을 선택한 데이터 소스	galileo	sw1	69831
Hide contents of selected data sources	목차 숨기기 선택한 데이터 소스	galileo	sw1	69832
A Level-of-Detail must be selected.	정밀도 수준 선택해야 합니다.	galileo	sw1	69833
A valid default unit of measure must be selected.	유효한 기본 측정 단위를 선택해야 합니다.	galileo	sw1	69834
Generation Level-of-Detail	생성 정밀도 수준	galileo	sw1	69835
Default Unit Of Measure	기본 측정 단위	galileo	sw1	69836
LOD Quality	LOD 품질	galileo	sw1	69837
Reduce it to render faster.	줄이는 렌더링이 빠릅니다.	galileo	sw1	69838
Increase it to see more detail.	늘리면 보다 자세히 설명합니다.	galileo	sw1	69839
If this flag is set the whole model will be regenerated for the specified point in time.	이 플래그는 세트 전체 모형을 재생성할 지정된 점.	galileo	sw1	69840
Use Model Time	모형 사용 시간	galileo	sw1	69841
A model can be generated for a specific point in time.	모형 생성할 수 있습니다 (특정 점.	galileo	sw1	69842
Provider:	공급자:	galileo	sw1	69843
Configuration string:	구성 문자열:	galileo	sw1	69845
Help	도움말	galileo	sw1	69846
Large Icons	큰 아이콘	galileo	sw1	69847
Medium Icons	중간 아이콘	galileo	sw1	69848
Small Icons	작은 아이콘	galileo	sw1	69849
Icon List	아이콘 목록	galileo	sw1	69850
Error	오류	galileo	sw1	69851
Failed to connect to data source.	연결하지 못했습니다. 데이터 소스입니다.	galileo	sw1	69852
Please refer to the log window for further details.	자세한 정보는 로그 윈도우에서.	galileo	sw1	69853
Model Style Editor	모형 스타일 편집기	galileo	sw1	69854
Model URI:	모형 URI:	galileo	sw1	69855
Instanced Model Settings	인스턴스화된 모형 설정	galileo	sw1	69856
Anchor point:	부착 점:	galileo	sw1	69857
Flip Y/Z	반전 Y/Z	galileo	sw1	69858
Invert axis sign	축 반전 기호	galileo	sw1	69859
Invert polygon orientation	다각형 방향 반전	galileo	sw1	69860
Show Bounding Box	경계 상자 표시	galileo	sw1	69861
Show X-Y-Grid	Show x-y-grid	galileo	sw1	69862
Clear Log	로그 지우기	galileo	sw1	69863
Enter Credentials	인증서 입력	galileo	sw1	69864
Enter credentials for:	인증서 입력:	galileo	sw1	69865
Some sort of context info	일부 일종의 상황에 맞는 정보	galileo	sw1	69866
User Name:	사용자 이름:	galileo	sw1	69867
Password:	암호:	galileo	sw1	69868
Manage Models	모델 관리	galileo	sw1	69870
Account :	계정:	galileo	sw1	69871
Download	다운로드	galileo	sw1	69872
Delete	삭제	galileo	sw1	69873
GroupBox	groupbox	galileo	sw1	69874
From:	시작:	galileo	sw1	69875
MM/dd/yyyy	MM/DD/YYYY	galileo	sw1	69876
To:	끝:	galileo	sw1	69877
Details...	상세 정보...	galileo	sw1	69878
No model or proposal selected	모형 없음 또는 제안 선택됨	galileo	sw1	69879
No models found.	NO 모형을 찾을 수 없습니다.	galileo	sw1	69880
%1 History	%1을(를) 사용 내역	galileo	sw1	69881
%1 : %2 History	%1: %2 사용 내역	galileo	sw1	69882
Download Model	다운로드 모형	galileo	sw1	69883
Model download failed!	모형 다운로드 실패!	galileo	sw1	69884
See the error log for details.	(오류 로그 상세 정보를 확인합니다.	galileo	sw1	69885
Manage Accounts	계정 관리	galileo	sw1	69886
Add Account	추가 ###계정	galileo	sw1	69887
Remove Account	제거 ###계정	galileo	sw1	69888
Del	Del	galileo	sw1	69889
Test Connection	연결 테스트	galileo	sw1	69890
Connection succeeded.	연결에 성공했습니다.	galileo	sw1	69891
Connection failed	연결 실패	galileo	sw1	69892
Invalid Display Name	유효하지 않은 화면표시 이름	galileo	sw1	69893
The highlighted display name is blank or is duplicate.	강조 표시된 화면표시 이름이 비어 있거나 중복됩니다.	galileo	sw1	69894
Invalid Service/Account	유효하지 않은 service/account	galileo	sw1	69895
The highlighted service/account is blank or is duplicate.	강조 표시된 service/account 비어 있거나 중복됩니다.	galileo	sw1	69896
File Format Error	파일 형식 오류	galileo	sw1	69897
Unsupported File Format.	지원되지 않는 파일 형식입니다.	galileo	sw1	69898
File Error	파일 오류	galileo	sw1	69899
Invalid service file.	유효하지 않은 서비스 파일입니다.	galileo	sw1	69900
Duplicate Account	중복 ###계정	galileo	sw1	69901
A service (%1) already exists for this Galileo Online account.	서비스 (%1) 이(가) 이미 이 galileo 온라인 고려합니다.	galileo	sw1	69902
Do you want to replace it?	바꾸시겠습니까?	galileo	sw1	69903
(Default)	(기본값)	galileo	sw1	69904
Duplicate Mapping Name	중복 이름 매핑	galileo	sw1	69905
A mapping with the name: %1 already exists!	매핑 이름 %1이(가) 이미 존재합니다!	galileo	sw1	69906
Material Group Style Editor	재질 그룹 스타일 편집기	galileo	sw1	69907
Default Material:	기본 재질:	galileo	sw1	69908
Material Mapping	재료 매핑	galileo	sw1	69909
Add Material	재질 추가	galileo	sw1	69910
Remove Selected Material	선택한 재질 제거	galileo	sw1	69911
Merge Proposals	병합 제안	galileo	sw1	69912
Select Proposal to Merge into current:	선택한 제안 병합할 현재:	galileo	sw1	69913
Remove Subset	하위 세트 제거	galileo	sw1	69914
Create Attribute Filter	속성 작성 필터	galileo	sw1	69915
Create new subset	새 하위 세트 작성	galileo	sw1	69916
Edit subset expression	편집 세트 표현식	galileo	sw1	69917
Delete Subsets	하위 세트 삭제	galileo	sw1	69918
Are you sure you want to delete the selected subset(s)?	삭제 선택한 하위 세트 (S)?	galileo	sw1	69919
Manage base layer visibility...	관리 기준 도면층 가시성...	galileo	sw1	69920
Select All	모두 선택	galileo	sw1	69921
Select By Filter...	선택 기준 필터...	galileo	sw1	69922
Visible	표시	galileo	sw1	69923
LOD	세부 수준 (LOD)	galileo	sw1	69924
Selectable	선택 가능	galileo	sw1	69925
Highlight	강조 표시	galileo	sw1	69926
Set Highlighting Color...	세트 강조 색상 (& D)...	galileo	sw1	69927
View In Data Table	뷰 데이터 테이블	galileo	sw1	69928
Create Subset...	만들기 하위 세트...	galileo	sw1	69929
Set Default Tooltip...	기본 툴팁 (& T)...	galileo	sw1	69930
Set Default Link...	기본 링크 (& L)...	galileo	sw1	69931
Rename Subset...	하위 세트 이름바꾸기 (& R)...	galileo	sw1	69932
Edit Subset...	편집 세트...	galileo	sw1	69933
Copy Subset	하위 세트 복사	galileo	sw1	69934
Downloading %1...	다운로드 중 %1...	galileo	sw1	69936
Publishing %1	게시 %1	galileo	sw1	69937
Synchronizing %1	동기화 %1	galileo	sw1	69938
Delete Raster Data	Delete 래스터 데이터	galileo	sw1	69939
Files cannot be deleted : %1	파일을 삭제할 수 없습니다.: %1	galileo	sw1	69940
Collecting info...	수집할 정보...	galileo	sw1	69941
Allocating resource on server...	배치 리소스를 서버에...	galileo	sw1	69942
Uploading model...	업로드 모형...	galileo	sw1	69943
Uploading raster data...	업로드 래스터 데이터...	galileo	sw1	69944
Uploading %1...	업로드 %1...	galileo	sw1	69945
Publish Raster failed!	###게시 래스터 실패!	galileo	sw1	69946
Publish failed files: %1	게시 실패 파일: %1	galileo	sw1	69947
Sending notification...	보내는 알림 (& A)...	galileo	sw1	69948
%1 has been published.	%1 게시됩니다.	galileo	sw1	69949
Description: %2	설명: %2	galileo	sw1	69950
Downloading model...	다운로드 모형...	galileo	sw1	69951
Downloading raster data...	래스터 데이터 다운로드...	galileo	sw1	69952
Downloading %1	다운로드 중 %1	galileo	sw1	69953
Deserialize database...	deserialize 데이터베이스...	galileo	sw1	69954
Fetching changes...	가져오기 변경...	galileo	sw1	69956
Interface Fundamentals	인터페이스 기본 사항	galileo	sw1	69957
Topics in this chapter:	이 장의 주제는:	galileo	sw1	69958
Basic Interface Functions	기본 인터페이스 함수	compo	interface1	70339
An intuitive set of editing functions are available to manipulate elements, such as compositions, folders, and so on.	직관적인 세트 편집 기능을 사용할 수 있습니다. 조작 요소 (예: 화합물, 폴더 등이 있습니다.	compo	interface1	70340
These include basic functions for cutting, copying, pasting, and deleting, as well as more advanced functions.	여기에는 기본 기능을 절단, 복사, 붙여넣기 및 삭제, 보다 고급 기능을 수행합니다.	compo	interface1	70341
Mouse, Pen, Keyboard	마우스, 키보드, 펜	compo	interface1	70342
You can interact with the user interface using a mouse or a pen and graphics tablet, in concert with the keyboard.	상호 작용할 수 있는 사용자 인터페이스 마우스를 사용할 또는 펜 및 그래픽 타블렛, 어떻게 키보드.	compo	interface1	70343
If you have a mouse wheel, you can use it to scroll through menus.	마우스 휠이 있는 경우 휠을 사용할 수 있도록 스크롤하려면 메뉴에 있습니다.	compo	interface1	70344
To generate a right-click with a pen, press the {146}Context Menu{147} key in concert with the pen.	생성 마우스 오른쪽 버튼을 사용하여 펜을 눌러 {146} 상황에 맞는 메뉴 {147} 키 어떻게 펜.	compo	interface1	70345
If a key board includes a {148}Context Menu{149} key, it is typically located three keys to the right of the {150}Spacebar{151}.	키가 보드 에는 {148} 상황에 맞는 메뉴 {149} 키, 일반적으로 있는 세 개의 오른쪽의 키가 {150} 스페이스바 {151}.	compo	interface1	70346
Cutting, Copying and Pasting	잘라내기, 복사 및 붙여넣기	compo	interface1	70347
Standard cut, copy, and paste commands let you manipulate elements, such as composition and folders.	표준 잘라내기, 복사 및 붙여넣기 명령을 사용하여 조작 요소 (예: 구성 및 폴더가 있습니다.	compo	interface1	70348
{152}To cut or copy, then paste an element:{153}	{152} 잘라내거나 복사한 다음 붙여넣기 요소: {153}	compo	interface1	70349
Right-click the element and select Cut ({154}Ctrl + X{155} for Windows, Linux or {156}Cmd + X{157} for Mac OS) or Copy ({158}Ctrl + C{159} for Windows, Linux or {160}Cmd + C {161} for Mac OS).	요소를 마우스 오른쪽 버튼으로 클릭하고 잘라내기를 선택합니다 ({154} Ctrl + X {155} Windows, Linux 또는 {156} Cmd + {157} Mac OS X) 또는 복사 ({158} Ctrl + C {159} Windows, Linux 또는 {160} Cmd + C {161} Mac OS).	compo	interface1	70350
Navigate to the location where you want to paste the element.	위치를 탐색하고 요소를 붙여넣을 수 있습니다.	compo	interface1	70351
Then right-click the location and select Paste or press ({162}Ctrl + V{163} for Windows, Linux or {164}Cmd + V{165} for Mac OS).	그런 다음 마우스 오른쪽 버튼을 클릭하고 위치 및 붙여넣기 선택 또는 Enter 키를 누릅니다 {162}(Ctrl + V {163} Windows, Linux 또는 {164} Cmd + V {165} Mac OS).	compo	interface1	70352
Entering Text	문자	compo	interface1	70353
Tools such as the Slate and Notes tools require that you type into text editor fields.	도구 (예: 슬레이트 및 주 도구 필요가 유형을 문자 편집기 필드를 사용할 수 있습니다.	compo	interface1	70354
{166}To accept changes in a text editor field, do one of the following:{167}	{166} 적용한 변경 사항이 문자 편집기에서 필드 (다음 중 하나 수행){167}	compo	interface1	70355
Press {168}Enter{169} in the case of a single-line editor.	Enter 키를 눌러 {168} Enter {169} 경우 단일행 문자 편집기를 선택합니다.	compo	interface1	70356
Press {170}Ctrl + Enter{171} in the case of a multi-line editor.	Enter 키를 눌러 {170} Ctrl + Enter {171} 경우 여러 줄 편집기.	compo	interface1	70357
Click outside the editor.	외부를 클릭합니다.	compo	interface1	70358
{172}To revert to the previous text:{173}	{172} 되돌리려면 이전 문자: {173}	compo	interface1	70359
Press {174}Esc{175}.	Enter 키를 눌러 {174} Esc {175}.	compo	interface1	70360
For more text editor/field hotkey combinations, see {176}.	추가 문자 editor/field 바로 가기 키 조합, {176}.	compo	interface1	70361
Dragging and Dropping	드래그 앤 드롭	compo	interface1	70362
You can drag and drop the contents of most folders in the user interface.	드래그 앤 드롭할 수 있습니다 내용을 대부분의 폴더는 사용자 인터페이스.	compo	interface1	70363
In the user preferences, you can choose whether you see the ghosted image of the composition or not.	사용자 기본 설정, 여부를 선택할 수 있는 가상 이미지 합성 않습니다.	compo	interface1	70364
See {177}.	참조 {177}.	compo	interface1	70365
Undoing and Redoing	명령 취소 및 명령 복구	compo	interface1	70366
You can undo most operations.	취소할 수 있는 대부분의 작업에 사용됩니다.	compo	interface1	70367
You can also redo any operation you undo.	수도 있습니다 (Redo 모든 작업이 있습니다.	compo	interface1	70368
{178}To undo or redo an operation, do one of the following:{179}	{178} 명령 취소 또는 명령 복구 작업을 다음 중 하나를 수행합니다. {179}	compo	interface1	70369
From the Edit menu, select Undo (or press {180}Ctrl + Z{181} for Windows, Linux or {182}Cmd + Z{183} for Mac OS).	편집 메뉴에서 명령 취소 (또는 Enter 키를 눌러 {180} Ctrl + Z {181} Windows, Linux 또는 {182} Cmd + Z {183} Mac OS).	compo	interface1	70370
Or select Redo (or press {184}Ctrl + Y{185} for Windows, Linux or {186}Cmd + Shift +Z{187} for Mac OS).	선택 또는 다시 실행 (또는 Enter 키를 눌러 {184} Ctrl + Y {185} Windows, Linux 또는 {186} Cmd + Shift + Z {187} Mac OS).	compo	interface1	70371
Or, in the taskbar, at the bottom of the UI, locate the Undo icon.	또는 작업 표시줄 맨 아래에서 UI 찾고 실행 취소 아이콘을 클릭합니다.	compo	interface1	70372
The last action performed is displayed beside it.	마지막 작업을 수행하지 옆에 표시됩니다.	compo	interface1	70373
Then do one of two things:	다음 중 하나를 수행하여 두 가지:	compo	interface1	70374
To undo the last operation you performed, click the arrow next the Undo icon.	마지막 작업을 명령취소할 수 수행한 화살표를 클릭한 다음 Undo 아이콘을 클릭합니다.	compo	interface1	70375
To undo any operation other than the last one you performed, or to redo an operation, click the text to the right of the Undo button, and select the operation you want to undo or redo from the list.	취소하려면 작업이 아닌 마지막으로 수행된 또는 복구하려면 작업, 텍스트 오른쪽에 명령 취소 버튼을 선택하여 작업을 할 때 Undo 또는 Redo를 클릭합니다.	compo	interface1	70376
Note that the arrow that appears in the list indicates the most recent operation you performed.	해당 화살표를 목록에 나타나는 나타냅니다 (가장 최근 수행한 작업입니다.	compo	interface1	70377
This operation and all operations above it are operations you can undo.	이 작업을 수행한 모든 작업을 위 변환하는 작업을 취소할 수 있습니다.	compo	interface1	70378
All operations below the arrow are ones you can redo.	모든 작업 아래 화살표 스타일을 복구할 수 있습니다.	compo	interface1	70379
{188}Things to Remember:{189}	{188} 기억해야 할 사항: {189}	compo	interface1	70380
You set the maximum number of items in the undo/redo list in the user preferences General tab.	설정하면 최대 항목 수 있는 실행 취소/다시 실행 리스트 사용자 기본 설정 일반 탭을 클릭합니다.	compo	interface1	70381
Browsers have a separate undo/redo list.	검색기 별도의 실행 취소/다시 실행 리스트.	compo	interface1	70382
Press {190}Ctrl + Y {191}for Windows and Linux, or {192}Cmd + Shift + Z{193} for Mac OS to redo an operation.	Enter 키를 눌러 {190} Ctrl + Y {191} Windows 및 Linux 또는 {192} Cmd + Shift + Z {193} Mac OS 복구하려면 작업.	compo	interface1	70383
Deleting Elements and Compositions	요소 삭제 및 화합물	compo	interface1	70384
You can delete an element, such as a composition or folder.	삭제할 수 있는 같은 요소의 구성 또는 폴더에 있습니다.	compo	interface1	70385
{194}To delete an element do one of the following:{195}	{194} 요소를 삭제하려면 다음 중 하나를 수행합니다. {195}	compo	interface1	70386
Select the element and press {196}Delete{197}.	요소를 선택하고 Enter 키를 눌러 {196} 삭제 {197}.	compo	interface1	70387
Right-click the element and select {198}Delete{199}.	요소를 마우스 오른쪽 버튼으로 클릭하고 선택 {198} 삭제 {199}.	compo	interface1	70388
The Gate UI	게이트 UI	compo	interface1	70389
The Gate UI allows you to access any of the four hidden panels in the workspace.	게이트 UI 액세스할 수 있는 네 개의 숨겨진 패널을 작업공간을 선택합니다.	compo	interface1	70390
The Gate UI resembles a compass; it has four gates that each correspond to one of the hidden panels.	게이트 UI 유사하며 나침반, 4개의 게이트 각 해당하는 하나의 ###숨김 패널이 있습니다.	compo	interface1	70391
The gates are distributed along the four cardinal directions.	이 게이트를 분산되는 네 개의 진홍색 방향.	compo	interface1	70392
The four gates are as follows:	네 개의 게이트 다음과 같습니다.	compo	interface1	70393
Gate:	게이트:	compo	interface1	70394
Displays:	표시됩니다.	compo	interface1	70395
a) North gate	a) 게이트	compo	interface1	70396
The Schematic overlay.	스키매틱 ###중첩.	compo	interface1	70397
This is a semi-transparent, larger view of the Schematic.	이것은 반투명 큰 뷰.	compo	interface1	70398
You can set the transparency of the background and nodes in the overlay, in the Creative tab of the User Preferences.	설정하면 투명 배경 및 노드 ###중첩, 창조적인 탭에서 사용자 기본 설정.	compo	interface1	70399
b) East gate	b) 동쪽 게이트	compo	interface1	70400
Pick List, Tools, or Views tab (depends on the last chosen option).	선택 리스트, 도구 또는 뷰 탭 (따라 마지막으로 선택한 옵션).	compo	interface1	70401
You can drop views onto viewports, add tools to compositions, and access the Pick List -- see {200}.	놓을 수 있으며 뷰를 뷰포트 도구를 추가하고, 구성 및 액세스 선택 리스트 -- 내용은 {200}.	compo	interface1	70402
c) South gate	c) 게이트	compo	interface1	70403
View options for the view on which the cursor is currently paused.	뷰 옵션 뷰 있는 커서의 현재 중지되었습니다.	compo	interface1	70404
For example, if you access the Gate UI when the cursor is over a Player, the south gate will display the Player options.	예를 들어, 액세스할 경우 게이트 UI 위에 커서를 놓으면 플레이어, 남쪽 게이트 하면 Player 옵션이 있습니다.	compo	interface1	70405
d) West gate	D) 서쪽 게이트	compo	interface1	70406
The Composition Browser.	구성을 검색기에 있습니다.	compo	interface1	70407
To access the Gate UI:	액세스 게이트 UI:	compo	interface1	70408
Press the tilde (~) key or middle-click your mouse.	Enter 키를 눌러 틸드 기호 (~) 키 또는 middle-click.	compo	interface1	70409
The Gate UI appears.	게이트 UI 나타납니다.	compo	interface1	70410
Swipe north, south, east or west.	스윕 북쪽, 남쪽, 동쪽 또는 서쪽.	compo	interface1	70411
The panel associated with that gate appears.	패널 연관된 게이트 나타납니다.	compo	interface1	70412
To exit the panel.	클릭하여 종료합니다.	compo	interface1	70413
move the cursor away from the panel.	커서를 패널.	compo	interface1	70414
If you press the tilde (~) key, or middle-click and swipe simultaneously, the Gate UI is not displayed.	키를 눌러 틸드 기호 (~) 키 또는 middle-click 및 스윕 동시에 게이트 UI가 표시되지 않습니다.	compo	interface1	70415
If you press the {201}Alt{202} key while swiping, the panel will stay open until you press {203}Esc{204}.	Alt 키를 누르면 {201}{202} swiping, 패널 상태로 키를 누를 때까지 {203} Esc {204}.	compo	interface1	70416
The Drop Gate	단차 게이트	compo	interface1	70417
Similar to the Gate UI in appearance, the Drop Gate appears when you drop a composition or a tool into a Player, Layer Editor, or Schematic view.	유사한 게이트 UI 모양, 드롭 게이트 나타납니다 놓으면 구성 또는 도구 한 플레이어, 도면층 편집기 또는 도식적 뷰.	compo	interface1	70418
The available options for the Drop Gate depend on whether you are dropping a tool or composition, the view you are dropping it in, and also what node is currently selected in the dependency graph.	사용 가능한 옵션은 드롭 게이트 중인지에 따라 다릅니다 놓을 도구 또는 구성, 뷰 놓아 in, 어떤 노드는 현재 선택한 종속성 그래프.	compo	interface1	70419
For example, if you drop a composition on a Reaction node in the Schematic view, the Composition Drop Gate appears.	예를 들어, 구성 설정 반응 노드를 도식적 뷰, 구성 드롭 게이트 나타납니다.	compo	interface1	70420
Here are the options associated with the Drop Gate when used in conjunction with a composition or a tool.	다음은 옵션 연관된 드롭 게이트 과 연동하여 사용하는 경우 구성 또는 도구를 클릭합니다.	compo	interface1	70421
To use the Drop gate when dropping a composition, do the following:	사용할 드롭 게이트 놓을 때 구성을 다음을 수행합니다.	compo	interface1	70422
Either drop a composition into the Player or Layer Editor.	자동 드롭 구성에 있는 플레이어 또는 도면층 편집기.	compo	interface1	70423
Or, drop a composition onto a tool in the Schematic view.	또는, 드롭 구성을 도구 도식적 뷰.	compo	interface1	70424
Then swipe through the appropriate option to select it, or click to cancel the drop.	그런 다음 스윕 관통 적절한 옵션을 선택하거나, 취소하려면 클릭합니다.	compo	interface1	70425
If you drop the composition or tool, and swipe to select an option simultaneously, the option is executed but the Drop Gate is not displayed.	끄는 경우 구성을 또는 도구 및 스윕 옵션을 선택합니다 동시에 옵션을 실행될 수 있지만 해당 드롭 게이트 표시되지 않습니다.	compo	interface1	70426

