English	Japanese	Product	Chapter	Sequence
Convert closed polylines to polygons	閉じたポリラインをポリゴンに変換する	galileo	sw1	59834
Do not drape	ドレープしない	galileo	sw1	59835
Drape	ドレープ	galileo	sw1	59836
Set Elevation	高度を設定	galileo	sw1	59837
Table	テーブル	galileo	sw1	59838
Coordinate System	座標系	galileo	sw1	59839
Position	位置	galileo	sw1	59840
Offset	オフセット	galileo	sw1	59841
Scale	スケール	galileo	sw1	59842
Rotation	回転	galileo	sw1	59843
Interactive Placing...	インタラクティブ配置中...	galileo	sw1	59844
Local Origin	ローカル基点	galileo	sw1	59845
Center 2D	中心 2	galileo	sw1	59846
Center 3D	中心 3D	galileo	sw1	59847
Lower Left Front	正面左下	galileo	sw1	59848
Geo Location	地理的位置	galileo	sw1	59849
Clip to Model Extent	モデル範囲にクリップ	galileo	sw1	59850
No Data Value	データ値	galileo	sw1	59851
Height Band	高さバンド	galileo	sw1	59852
Classification	分類	galileo	sw1	59853
Color Mask	カラーマスク	galileo	sw1	59854
Band Mapping	帯のマッピング	galileo	sw1	59855
Gray	グレー	galileo	sw1	59856
Red	赤	galileo	sw1	59857
Green	緑	galileo	sw1	59858
Blue	青	galileo	sw1	59859
Alpha	アルファ	galileo	sw1	59860
Undefined	undefined	galileo	sw1	59861
Aerial	上空	galileo	sw1	59862
Satellite	衛星	galileo	sw1	59863
Topographic Map	トポロジマップ	galileo	sw1	59864
Smooth Colors	Smooth Colors	galileo	sw1	59865
Discrete Colors	個々 のカラー	galileo	sw1	59866
Gray + Alpha	グレー + アルファ	galileo	sw1	59867
RGB	RGB	galileo	sw1	59868
RGB + Alpha	RGB + アルファ	galileo	sw1	59869
Pick Color	選択カラー	galileo	sw1	59870
Link	リンク	galileo	sw1	59871
Tooltip	ツールチップ	galileo	sw1	59872
Expression Editor...	式エディタ...	galileo	sw1	59873
Style Chooser...	スタイルを選択 (& C)...	galileo	sw1	59874
Export to FBX	FBX にエクスポートするには	galileo	sw1	59875
Target Coordinate System	ターゲットの座標系	galileo	sw1	59876
Target File(s)	ターゲットファイル	galileo	sw1	59877
Single File	単一ファイル	galileo	sw1	59878
Set File...	設定ファイル (& N)...	galileo	sw1	59879
Multiple Files	複数ファイル	galileo	sw1	59880
Set Location...	地理的位置を設定...	galileo	sw1	59881
Feature Type	フィーチャタイプ	galileo	sw1	59882
File Name	ファイル名	galileo	sw1	59883
Export Materials/Textures	書き出すマテリアル / テクスチャ	galileo	sw1	59884
Import Bookmarks	読み込みのブックマーク	galileo	sw1	59885
File Settings	ファイルの設定	galileo	sw1	59886
Source file	ソースファイル	galileo	sw1	59887
Shot Settings	ショット設定	galileo	sw1	59888
Order Index	配列インデックス	galileo	sw1	59889
Camera Height	カメラの高さ	galileo	sw1	59890
Add Geometry Z	ジオメトリを追加]	galileo	sw1	59891
Expression	式	galileo	sw1	59892
Camera Orientation	カメラの方向	galileo	sw1	59893
Tilt	傾斜	galileo	sw1	59894
Timing Control	タイミングコントロール	galileo	sw1	59895
Set Speed	速度を設定	galileo	sw1	59896
Set Duration	時間設定	galileo	sw1	59897
Path Speed	パスの速度	galileo	sw1	59898
Path Duration	パス]	galileo	sw1	59899
Pause Duration	停止時間	galileo	sw1	59900
3D Model Files (%1)	3D モデルファイル (%1)	galileo	sw1	59901
Arc/Info Binary Grid	Arc/Info バイナリグリッド	galileo	sw1	59902
Arc/Info ASCII Grid	Arc/Info ASCII グリッド	galileo	sw1	59903
VTP Binary Terrain	vtp バイナリ地表	galileo	sw1	59904
Collada	Collada	galileo	sw1	59905
Database	データベース	galileo	sw1	59906
Military elevation data	軍事標高データ	galileo	sw1	59907
Autodesk DWG	Autodesk DWG	galileo	sw1	59908
Arc/Info Grid Export	Arc/Info グリッドをエクスポート	galileo	sw1	59909
Enhanced Compressed Wavelet	拡張圧縮ウェーブレット	galileo	sw1	59910
Autodesk FBX	Autodesk FBX	galileo	sw1	59911
Golden Surfer Grid	金色サーファー]	galileo	sw1	59912
Nasa SRTM	nasa STRM (スペース	galileo	sw1	59913
Erdas Imagine	erdas を想像してください	galileo	sw1	59914
OBJ	OBJ	galileo	sw1	59915
PNG	PNG	galileo	sw1	59916
SDF	SDF	galileo	sw1	59917
SQLite	SQLite	galileo	sw1	59918
Autodesk 3DS	Autodesk 3ds Max	galileo	sw1	59919
GeoTIFF	GeoTIFF	galileo	sw1	59920
MrSID	MrSID	galileo	sw1	59921
Comma Separated Value	カンマで区切られた値	galileo	sw1	59922
Civil	Civil	galileo	sw1	59923
Terrain Texture	地表テクスチャ	galileo	sw1	59924
Terrain Surface	地形サーフェス	galileo	sw1	59925
Texture	テクスチャ	galileo	sw1	59926
Facade Style Editor	壁スタイルエディタ	galileo	sw1	59927
Theme	テーマ	galileo	sw1	59928
Building Base Color	建物のベースカラー	galileo	sw1	59929
Layouts	レイアウト	galileo	sw1	59930
Block Sequence	ブロックのシーケンス	galileo	sw1	59931
various values	さまざまな値	galileo	sw1	59932
FileBasedDbConnectionWidget	filebaseddbconnectionwidget	galileo	sw1	59933
Source file:	ソースファイル:	galileo	sw1	59934
Source file or folder:	ソースファイルまたはフォルダ:	galileo	sw1	59935
File	ファイル	galileo	sw1	59936
Folder	フォルダ	galileo	sw1	59937
Dialog	ダイアログボックス	galileo	sw1	59938
Type of data:	データのタイプ:	galileo	sw1	59939
Unkown File Extension	不明なファイル拡張子	galileo	sw1	59940
Unknown File Category	不明なファイルカテゴリ	galileo	sw1	59941
Files	ファイル	galileo	sw1	59942
MySql	MySQL	galileo	sw1	59943
ODBC	ODBC	galileo	sw1	59944
Oracle	Oracle	galileo	sw1	59945
SQL Server	SQL Server	galileo	sw1	59946
SQL Server Spatial	SQL Server Spatial	galileo	sw1	59947
WFS	WFS	galileo	sw1	59948
WMS	WMS	galileo	sw1	59949
Unkown connection type	不明な接続タイプ	galileo	sw1	59950
Base Layer Management	基本画層の管理	galileo	sw1	59951
Apply	適用	galileo	sw1	59952
Internal Error	内部エラー	galileo	sw1	59953
There occured an error while applying the made changes.	加えた変更を適用するときにエラーが発生します。	galileo	sw1	59954
(See the current log for details).	詳細については、現在のログを参照してください。	galileo	sw1	59955
Hide data source contents	非表示データソースの内容	galileo	sw1	59956
Show data source contents	データソースの内容	galileo	sw1	59957
Terrain Surfaces	地形サーフェス	galileo	sw1	59958
Ground Imagery and Coverages	地表イメージとカバレッジ	galileo	sw1	59959
Roads and Railways	道路や線路	galileo	sw1	59960
Unknown	不明な	galileo	sw1	59961
Show contents of selected data sources	選択したデータソースの内容を表示	galileo	sw1	59962
Hide contents of selected data sources	選択したデータソースの内容を非表示	galileo	sw1	59963
A Level-of-Detail must be selected.	詳細レベルを選択する必要があります。	galileo	sw1	59964
A valid default unit of measure must be selected.	計測の有効な既定の単位を選択する必要があります。	galileo	sw1	59965
Generation Level-of-Detail	生成の詳細レベル	galileo	sw1	59966
Default Unit Of Measure	計測の既定の単位	galileo	sw1	59967
LOD Quality	詳細レベルの品質	galileo	sw1	59968
Reduce it to render faster.	レンダリングの速度を下げます。	galileo	sw1	59969
Increase it to see more detail.	詳細についてはこの値を増やします。	galileo	sw1	59970
If this flag is set the whole model will be regenerated for the specified point in time.	このフラグは、モデル全体に指定した点に再作図されます。 設定されています。	galileo	sw1	59971
Use Model Time	モデルを使用時間	galileo	sw1	59972
A model can be generated for a specific point in time.	モデルの特定のポイントに対して作成することができます。	galileo	sw1	59973
Provider:	プロバイダ:	galileo	sw1	59974
Configuration string:	環境文字列:	galileo	sw1	59976
Help	ヘルプ	galileo	sw1	59977
Large Icons	大きいアイコン	galileo	sw1	59978
Medium Icons	中アイコン	galileo	sw1	59979
Small Icons	小さいアイコン	galileo	sw1	59980
Icon List	アイコンのリスト	galileo	sw1	59981
Error	エラー	galileo	sw1	59982
Failed to connect to data source.	データソースへの接続に失敗しました。	galileo	sw1	59983
Please refer to the log window for further details.	詳細については、ログインウィンドウを参照してください。	galileo	sw1	59984
Model Style Editor	モデルスタイルエディタ	galileo	sw1	59985
Model URI:	モデルの URI:	galileo	sw1	59986
Instanced Model Settings	インスタンス化されたモデルの設定	galileo	sw1	59987
Anchor point:	アンカー点を指定:	galileo	sw1	59988
Flip Y/Z	反転 [同値にする ： Y/Z]	galileo	sw1	59989
Invert axis sign	軸を反転。	galileo	sw1	59990
Invert polygon orientation	ポリゴンを反転方向	galileo	sw1	59991
Show Bounding Box	[バウンディングボックスを表示]	galileo	sw1	59992
Show X-Y-Grid	Show x-y-grid	galileo	sw1	59993
Clear Log	[ログをクリア]	galileo	sw1	59994
Enter Credentials	入力情報	galileo	sw1	59995
Enter credentials for:	の資格情報:	galileo	sw1	59996
Some sort of context info	コンテキスト情報を	galileo	sw1	59997
User Name:	ユーザ名:	galileo	sw1	59998
Password:	パスワード:	galileo	sw1	59999
Manage Models	[モデル]	galileo	sw1	60001
Account :	計算:	galileo	sw1	60002
Download	ダウンロード	galileo	sw1	60003
Delete	削除	galileo	sw1	60004
GroupBox	GroupBox	galileo	sw1	60005
From:	開始位置:	galileo	sw1	60006
MM/dd/yyyy	MM/DD/YYYY	galileo	sw1	60007
To:	します。	galileo	sw1	60008
Details...	詳細 (& T)...	galileo	sw1	60009
No model or proposal selected	選択したモデルまたは計画	galileo	sw1	60010
No models found.	モデルがあります。	galileo	sw1	60011
%1 History	%1 の履歴	galileo	sw1	60012
%1 : %2 History	%1: %2 の履歴	galileo	sw1	60013
Download Model	ダウンロードモデル	galileo	sw1	60014
Model download failed!	モデルのダウンロードに失敗しました。	galileo	sw1	60015
See the error log for details.	詳細については、エラーのログを参照してください。	galileo	sw1	60016
Manage Accounts	[アカウント	galileo	sw1	60017
Add Account	を追加するには	galileo	sw1	60018
Remove Account	[アカウント	galileo	sw1	60019
Del	[Del]	galileo	sw1	60020
Test Connection	[接続のテスト	galileo	sw1	60021
Connection succeeded.	接続に成功しました。	galileo	sw1	60022
Connection failed	接続に失敗しました	galileo	sw1	60023
Invalid Display Name	表示名が無効	galileo	sw1	60024
The highlighted display name is blank or is duplicate.	ハイライト表示された表示名は空であるか、または重複しています。	galileo	sw1	60025
Invalid Service/Account	無効な service/account	galileo	sw1	60026
The highlighted service/account is blank or is duplicate.	ハイライト表示された service/account 空白または重複しています。	galileo	sw1	60027
File Format Error	ファイルエラー	galileo	sw1	60028
Unsupported File Format.	サポートされないファイル形式です。	galileo	sw1	60029
File Error	ファイルエラー	galileo	sw1	60030
Invalid service file.	無効なサービスファイルに保存します。	galileo	sw1	60031
Duplicate Account	複製アカウント	galileo	sw1	60032
A service (%1) already exists for this Galileo Online account.	サービス名 (%1) は既にこの Galileo オンラインが存在します。	galileo	sw1	60033
Do you want to replace it?	置き換えますか?	galileo	sw1	60034
(Default)	(既定値)	galileo	sw1	60035
Duplicate Mapping Name	重複するマッピング名	galileo	sw1	60036
A mapping with the name: %1 already exists!	%1 は既に存在します、名前でマッピングします。	galileo	sw1	60037
Material Group Style Editor	材料グループスタイルエディタ	galileo	sw1	60038
Default Material:	既定値のマテリアルです。	galileo	sw1	60039
Material Mapping	マテリアルマッピング	galileo	sw1	60040
Add Material	マテリアルを追加	galileo	sw1	60041
Remove Selected Material	選択した材料を削除	galileo	sw1	60042
Merge Proposals	マージ proposals	galileo	sw1	60043
Select Proposal to Merge into current:	現在の結合を提案します。	galileo	sw1	60044
Remove Subset	[サブセットを除去]	galileo	sw1	60045
Create Attribute Filter	作成するアトリビュートをフィルタ	galileo	sw1	60046
Create new subset	サブセットを新規作成	galileo	sw1	60047
Edit subset expression	[サブセット式	galileo	sw1	60048
Delete Subsets	[サブセット	galileo	sw1	60049
Are you sure you want to delete the selected subset(s)?	選択したファイルを削除してよろしいですか?	galileo	sw1	60050
Manage base layer visibility...	[ベース] 画層の表示設定...	galileo	sw1	60051
Select All	すべてを選択	galileo	sw1	60052
Select By Filter...	フィルタによる選択	galileo	sw1	60053
Visible	表示	galileo	sw1	60054
LOD	詳細レベル	galileo	sw1	60055
Selectable	選択	galileo	sw1	60056
Highlight	ハイライト	galileo	sw1	60057
Set Highlighting Color...	セットのハイライトカラー	galileo	sw1	60058
View In Data Table	データテーブルで表示	galileo	sw1	60059
Create Subset...	[サブセット...	galileo	sw1	60060
Set Default Tooltip...	既定値をツールチップ (& O)...	galileo	sw1	60061
Set Default Link...	既定値をリンク (& L)...	galileo	sw1	60062
Rename Subset...	サブセットの名前を変更...	galileo	sw1	60063
Edit Subset...	[サブセット...	galileo	sw1	60064
Copy Subset	[サブセット	galileo	sw1	60065
Downloading %1...	ダウンロード %1...	galileo	sw1	60067
Publishing %1	パブリッシュ %1	galileo	sw1	60068
Synchronizing %1	同期 %1	galileo	sw1	60069
Delete Raster Data	ラスターデータを削除	galileo	sw1	60070
Files cannot be deleted : %1	ファイルを削除できません: %1	galileo	sw1	60071
Collecting info...	収集情報...	galileo	sw1	60072
Allocating resource on server...	サーバに割り当てるリソース...	galileo	sw1	60073
Uploading model...	アップロードモデル...	galileo	sw1	60074
Uploading raster data...	アップロードのラスターデータ (& P)...	galileo	sw1	60075
Uploading %1...	アップロード %1...	galileo	sw1	60076
Publish Raster failed!	[ラスターに失敗しました。	galileo	sw1	60077
Publish failed files: %1	ファイル: %1 のパブリッシュに失敗しました	galileo	sw1	60078
Sending notification...	を通知 (& P)...	galileo	sw1	60079
%1 has been published.	%1 をパブリッシュしています。	galileo	sw1	60080
Description: %2	説明: %2	galileo	sw1	60081
Downloading model...	ダウンロードモデル...	galileo	sw1	60082
Downloading raster data...	ダウンロードするラスターデータ (& P)...	galileo	sw1	60083
Downloading %1	ダウンロード中: %1	galileo	sw1	60084
Deserialize database...	deserialize データベース...	galileo	sw1	60085
Fetching changes...	一時保存が変更...	galileo	sw1	60087
Interface Fundamentals	インタフェースの基本	compo	interface1	60817
Topics in this chapter:	この章のトピック:	compo	interface1	60818
Basic Interface Functions	基本的なインタフェース関数	compo	interface1	60819
An intuitive set of editing functions are available to manipulate elements, such as compositions, folders, and so on.	編集機能の簡単な設定の要素、構成、フォルダなどの操作に使用できます。	compo	interface1	60820
These include basic functions for cutting, copying, pasting, and deleting, as well as more advanced functions.	これらの切断の基本的な機能、コピー、貼り付け、および削除するだけでなく、より高度な機能があります。	compo	interface1	60821
Mouse, Pen, Keyboard	マウス、ペン、キーボード	compo	interface1	60822
You can interact with the user interface using a mouse or a pen and graphics tablet, in concert with the keyboard.	キーボードを加えることによっては、マウスやペンとタブレットを使用して、ユーザインタフェースを操作することができます。	compo	interface1	60823
If you have a mouse wheel, you can use it to scroll through menus.	マウスホイールがある場合、メニューをスクロールすることができます。	compo	interface1	60824
To generate a right-click with a pen, press the {146}Context Menu{147} key in concert with the pen.	ペンで右クリックを生成するには、[ペンしながら {146}{147} コンテキストメニューキーを押します。	compo	interface1	60825
If a key board includes a {148}Context Menu{149} key, it is typically located three keys to the right of the {150}Spacebar{151}.	キーボード、{148}{149} コンテキストメニューキーが含まれている場合、通常は、{150}{151} スペースバーの右側に 3 つのキーがあります。	compo	interface1	60826
Cutting, Copying and Pasting	切り取り、コピー、貼り付けを行う	compo	interface1	60827
Standard cut, copy, and paste commands let you manipulate elements, such as composition and folders.	標準の切り取り、コピー、および貼り付けコマンドは、要素、構成、およびフォルダとして操作することができます。	compo	interface1	60828
{152}To cut or copy, then paste an element:{153}	カットまたはコピーする、{152}{153} 貼り付け要素:	compo	interface1	60829
Right-click the element and select Cut ({154}Ctrl + X{155} for Windows, Linux or {156}Cmd + X{157} for Mac OS) or Copy ({158}Ctrl + C{159} for Windows, Linux or {160}Cmd + C {161} for Mac OS).	要素を右クリックし、[切断 Mac OS の Windows、Linux、{156}{157}[Cmd] + [X {154}{155}[Ctrl] + [X] または [コピー (Windows、Linux または Mac OS C {161} + C {158}{159}{160} Cmd + [Ctrl] ) をクリックします。	compo	interface1	60830
Navigate to the location where you want to paste the element.	要素を貼り付ける場所に移動します。	compo	interface1	60831
Then right-click the location and select Paste or press ({162}Ctrl + V{163} for Windows, Linux or {164}Cmd + V{165} for Mac OS).	次の位置を選択して、[貼り付け] または [{162} Ctrl + V Windows、Linux または Mac OS の {164}[Cmd] + [V {165} の {163}() を右クリックします。	compo	interface1	60832
Entering Text	入力テキスト	compo	interface1	60833
Tools such as the Slate and Notes tools require that you type into text editor fields.	ツール (スレートおよび注記ツールとしてテキストエディタ] フィールドに入力する必要があります。	compo	interface1	60834
{166}To accept changes in a text editor field, do one of the following:{167}	テキストエディタに変更を適用するには、{166}{167} のいずれかを実行します	compo	interface1	60835
Press {168}Enter{169} in the case of a single-line editor.	1 行のエディタで [{168}{169} 入力します。	compo	interface1	60836
Press {170}Ctrl + Enter{171} in the case of a multi-line editor.	マルチラインエディタの場合は [Ctrl] + [Enter]{170}{171} ] を押します。	compo	interface1	60837
Click outside the editor.	エディタの外側をクリックします。	compo	interface1	60838
{172}To revert to the previous text:{173}	前の値に戻す {172}{173}:	compo	interface1	60839
Press {174}Esc{175}.	[Esc {174}{175} します。	compo	interface1	60840
For more text editor/field hotkey combinations, see {176}.	複数の文字 editor/field ホットキーの組み合わせの場合、{176} 」 を参照してください。	compo	interface1	60841
Dragging and Dropping	ドラッグアンドドロップ	compo	interface1	60842
You can drag and drop the contents of most folders in the user interface.	ドラッグすると、ユーザインタフェースのほとんどのフォルダのコンテンツをドラッグアンドドロップすることができます。	compo	interface1	60843
In the user preferences, you can choose whether you see the ghosted image of the composition or not.	[ユーザ設定では、構成のゴーストイメージを表示するかどうかを選択できます。	compo	interface1	60844
See {177}.	{177} 」 を参照してください。	compo	interface1	60845
Undoing and Redoing	元に戻す / やり直す	compo	interface1	60846
You can undo most operations.	ほとんどの操作を元に戻すことができます。	compo	interface1	60847
You can also redo any operation you undo.	また、操作を元に戻す] をやり直します。	compo	interface1	60848
{178}To undo or redo an operation, do one of the following:{179}	操作を元に戻すまたはやり直す {178}{179}、のいずれかを実行します	compo	interface1	60849
From the Edit menu, select Undo (or press {180}Ctrl + Z{181} for Windows, Linux or {182}Cmd + Z{183} for Mac OS).	[編集] メニューで、Windows、Linux または Mac OS の {182}[Cmd] + [Z] の {183}{181} を元に戻す (Ctrl + Z {180} ] を押します。	compo	interface1	60850
Or select Redo (or press {184}Ctrl + Y{185} for Windows, Linux or {186}Cmd + Shift +Z{187} for Mac OS).	[Ctrl] + [Y]{184} ] を選択します (または [Windows、Linux または Mac OS の Z {186}{187} + [Cmd] + [Shift] + {185} ) します。	compo	interface1	60851
Or, in the taskbar, at the bottom of the UI, locate the Undo icon.	ユーザインタフェースの下には、TASKBAR [タスクバー]、または [元に戻す] アイコンを選択します。	compo	interface1	60852
The last action performed is displayed beside it.	実行された最後のアクションの横に表示されます。	compo	interface1	60853
Then do one of two things:	次の 2 つの方法のいずれかを実行します。	compo	interface1	60854
To undo the last operation you performed, click the arrow next the Undo icon.	[元に戻す] アイコンの横の矢印をクリックし、実行された最後の操作を元に戻します。	compo	interface1	60855
To undo any operation other than the last one you performed, or to redo an operation, click the text to the right of the Undo button, and select the operation you want to undo or redo from the list.	操作は実行された最後の操作を元に戻す、または操作をやり直すには、[元に戻す] ボタンの右にあるテキストをクリックして、リストから元に戻す / やり直しの操作を選択します。	compo	interface1	60856
Note that the arrow that appears in the list indicates the most recent operation you performed.	リストに表示される矢印は、最近実行した操作を示します。	compo	interface1	60857
This operation and all operations above it are operations you can undo.	この操作は、上記のすべての操作は、元に戻すことが可能です。	compo	interface1	60858
All operations below the arrow are ones you can redo.	矢印の下にあるすべての操作をやり直すことができるものがあります。	compo	interface1	60859
{188}Things to Remember:{189}	覚え {188}{189} 事項:	compo	interface1	60860
You set the maximum number of items in the undo/redo list in the user preferences General tab.	[ユーザ設定] の [一般] タブの [元に戻す ]/[ やり直し] リストの項目の最大数を設定します。	compo	interface1	60861
Browsers have a separate undo/redo list.	ブラウザ<so > ぶらうざの元に戻す ]/[ やり直し] リストがあります。	compo	interface1	60862
Press {190}Ctrl + Y {191}for Windows and Linux, or {192}Cmd + Shift + Z{193} for Mac OS to redo an operation.	[{190} Ctrl + Y Windows、Linux、または操作をやり直すには Mac OS の Z + {192}{193} Cmd + Shift {191} します。	compo	interface1	60863
Deleting Elements and Compositions	削除する要素と構成	compo	interface1	60864
You can delete an element, such as a composition or folder.	これは、要素、構成、またはフォルダを削除することができます。	compo	interface1	60865
{194}To delete an element do one of the following:{195}	要素が: {194}{195} は削除する	compo	interface1	60866
Select the element and press {196}Delete{197}.	[要素] と [{196}{197} 削除] を選択します。	compo	interface1	60867
Right-click the element and select {198}Delete{199}.	要素を右クリックし、[{198}{199} 削除します。	compo	interface1	60868
The Gate UI	ゲートのユーザインタフェース	compo	interface1	60869
The Gate UI allows you to access any of the four hidden panels in the workspace.	ゲートの UI は、ワークスペースには 4 つの非表示パネルにアクセスできます。	compo	interface1	60870
The Gate UI resembles a compass; it has four gates that each correspond to one of the hidden panels.	これは非表示にされたパネルの 1 つに対応する 4 つのゲートがあるゲートの UI は、コンパスに似ています。	compo	interface1	60871
The gates are distributed along the four cardinal directions.	ゲートは、4 つの主方向に沿って配置されます。	compo	interface1	60872
The four gates are as follows:	4 つのゲートは次のとおりです。	compo	interface1	60873
Gate:	ゲートです。	compo	interface1	60874
Displays:	が表示されます。	compo	interface1	60875
a) North gate	a) 北ゲート	compo	interface1	60876
The Schematic overlay.	回路図のオーバーレイします。	compo	interface1	60877
This is a semi-transparent, larger view of the Schematic.	これは、回路図の半透明の、より大きく表示されます。	compo	interface1	60878
You can set the transparency of the background and nodes in the overlay, in the Creative tab of the User Preferences.	ユーザ基本設定] の [ユーザ] タブには、オーバーレイの背景とノードの透明度を設定することができます。	compo	interface1	60879
b) East gate	b) 東ゲート	compo	interface1	60880
Pick List, Tools, or Views tab (depends on the last chosen option).	選択リストは、[ツール]、または [ビュー] タブは、最後に選択したオプションによって異なります。	compo	interface1	60881
You can drop views onto viewports, add tools to compositions, and access the Pick List -- see {200}.	[合成ツールを追加すると、ビューポートにビューをドロップすることができ、[選択リスト -- {200} 」 を参照してください。	compo	interface1	60882
c) South gate	c) 南ゲート	compo	interface1	60883
View options for the view on which the cursor is currently paused.	カーソルが一時停止されているビューのオプションを表示します。	compo	interface1	60884
For example, if you access the Gate UI when the cursor is over a Player, the south gate will display the Player options.	カーソルをプレーヤーの上にある場合は、ゲートの UI にアクセスすると、たとえば、南ゲートは、プレーヤのオプションが表示されます。	compo	interface1	60885
d) West gate	d) 西ゲート	compo	interface1	60886
The Composition Browser.	[構成] をクリックします。	compo	interface1	60887
To access the Gate UI:	[ゲート]:	compo	interface1	60888
Press the tilde (~) key or middle-click your mouse.	[Enter] を押してティルダ (~) キーまたはキーを中央クリックし、マウスを動かします。	compo	interface1	60889
The Gate UI appears.	ゲートの UI が表示されます。	compo	interface1	60890
Swipe north, south, east or west.	swipe 北、南、東、西] を選択します。	compo	interface1	60891
The panel associated with that gate appears.	表示されるゲートに関連付けられているパネルを指定します。	compo	interface1	60892
To exit the panel.	パネルを終了します。	compo	interface1	60893
move the cursor away from the panel.	カーソルがパネルから離します。	compo	interface1	60894
If you press the tilde (~) key, or middle-click and swipe simultaneously, the Gate UI is not displayed.	[ティルダ (~) キーを中央クリックして swipe、UI が表示されないが、ゲートを押します。	compo	interface1	60895
If you press the {201}Alt{202} key while swiping, the panel will stay open until you press {203}Esc{204}.	[スワイプ操作を行うと、{201}{202} Alt キーを押すと、そのパネルは {203}{204} Esc を押すまで開いたままになります。	compo	interface1	60896
The Drop Gate	ドロップゲート	compo	interface1	60897
Similar to the Gate UI in appearance, the Drop Gate appears when you drop a composition or a tool into a Player, Layer Editor, or Schematic view.	外観でゲートのユーザインタフェースと同様に、ドロップゲートは、プレーヤー、レイヤエディタ、またはスケマティックビューに構成またはツールをドラッグアンドドロップすると表示されます。	compo	interface1	60898
The available options for the Drop Gate depend on whether you are dropping a tool or composition, the view you are dropping it in, and also what node is currently selected in the dependency graph.	ツールまたは構成をドロップするにはゲート依存に使用できるオプションには、ノードは、ディペンデンシーグラフで選択されたか、ドロップされます。	compo	interface1	60899
For example, if you drop a composition on a Reaction node in the Schematic view, the Composition Drop Gate appears.	[スケマティクビューでの反応をノードの構成を削除した場合は、[構成ドロップゲートが表示されます。	compo	interface1	60900
Here are the options associated with the Drop Gate when used in conjunction with a composition or a tool.	ここでは、構成またはツールと組み合わせて使用する場合にはゲートに関するオプションがあります。	compo	interface1	60901
To use the Drop gate when dropping a composition, do the following:	合成をドロップするときにはゲートを使用するには、次の操作を行います。	compo	interface1	60902
Either drop a composition into the Player or Layer Editor.	[プレーヤーまたはレイヤエディタに構成できます。	compo	interface1	60903
Or, drop a composition onto a tool in the Schematic view.	[スケマティクビューのツールには、構成を削除します。	compo	interface1	60904
Then swipe through the appropriate option to select it, or click to cancel the drop.	次に、または削除をキャンセルするには [選択] をクリックし、適切なオプションを使用して swipe します。	compo	interface1	60905
If you drop the composition or tool, and swipe to select an option simultaneously, the option is executed but the Drop Gate is not displayed.	[構成] または [ツール] ドロップダウンをクリックしてオプションを同時に選択すると、swipe オプションが実行されますが、ドロップゲートが表示されません。	compo	interface1	60906

